2025-11-09 00:59:26,109 [INFO] \U0001f3e5 Hospital_D initialized with heart_disease.csv
2025-11-09 00:59:49,840 [INFO] Hospital_D: Training complete (Acc=0.733, Samples=120)
2025-11-09 00:59:52,691 [INFO] Hospital_D: Training complete (Acc=0.733, Samples=120)
2025-11-09 00:59:56,993 [INFO] Hospital_D: Training complete (Acc=0.433, Samples=120)
2025-11-09 01:11:50,520 [INFO] Hospital_D: Training complete (Acc=0.967, Samples=120)
2025-11-09 01:11:57,062 [INFO] Hospital_D: Training complete (Acc=0.7, Samples=120)
2025-11-09 01:12:01,939 [INFO] Hospital_D: Training complete (Acc=0.867, Samples=120)
2025-11-09 01:21:20,429 [INFO] Hospital_D: Training complete (Acc=0.833, Samples=120)
2025-11-09 01:21:23,543 [INFO] Hospital_D: Training complete (Acc=0.633, Samples=120)
2025-11-09 01:21:27,931 [INFO] Hospital_D: Training complete (Acc=0.8, Samples=120)
2025-11-09 01:21:32,378 [INFO] Hospital_D: Training complete (Acc=0.867, Samples=120)
2025-11-09 01:21:34,945 [INFO] Hospital_D: Training complete (Acc=0.833, Samples=120)
2025-11-09 01:21:39,867 [INFO] Hospital_D: Training complete (Acc=0.567, Samples=120)
2025-11-09 01:39:05,116 [INFO] Hospital_D: Training complete (Acc=0.667, Samples=120)
2025-11-09 01:39:10,141 [INFO] Hospital_D: Training complete (Acc=0.633, Samples=120)
2025-11-09 01:39:13,497 [INFO] Hospital_D: Training complete (Acc=0.833, Samples=120)
2025-11-09 01:46:48,845 [INFO] Hospital_D: Training complete (Acc=0.667, Samples=120)
2025-11-09 01:46:52,186 [INFO] Hospital_D: Training complete (Acc=0.567, Samples=120)
2025-11-09 01:46:56,310 [INFO] Hospital_D: Training complete (Acc=0.667, Samples=120)
2025-11-09 01:48:23,899 [INFO] Hospital_D: Training complete (Acc=0.833, Samples=120)
2025-11-09 01:48:27,776 [INFO] Hospital_D: Training complete (Acc=0.667, Samples=120)
2025-11-09 01:48:30,950 [INFO] Hospital_D: Training complete (Acc=0.733, Samples=120)
2025-11-09 01:48:38,233 [INFO] Hospital_D: Training complete (Acc=0.567, Samples=120)
2025-11-09 01:48:41,393 [INFO] Hospital_D: Training complete (Acc=0.9, Samples=120)
2025-11-09 01:48:47,295 [INFO] Hospital_D: Training complete (Acc=0.933, Samples=120)
2025-11-09 01:48:48,269 [INFO] Hospital_D: Training complete (Acc=0.7, Samples=120)
2025-11-09 01:48:51,312 [INFO] Hospital_D: Training complete (Acc=0.833, Samples=120)
2025-11-09 01:48:54,494 [INFO] Hospital_D: Training complete (Acc=0.767, Samples=120)
2025-11-09 01:48:56,890 [INFO] Hospital_D: Training complete (Acc=0.633, Samples=120)
2025-11-09 01:49:02,469 [INFO] Hospital_D: Training complete (Acc=0.833, Samples=120)
2025-11-09 01:49:06,823 [INFO] Hospital_D: Training complete (Acc=0.833, Samples=120)
2025-11-09 01:49:10,264 [INFO] Hospital_D: Training complete (Acc=0.8, Samples=120)
2025-11-09 01:49:12,888 [INFO] Hospital_D: Training complete (Acc=0.6, Samples=120)
2025-11-09 01:49:16,888 [INFO] Hospital_D: Training complete (Acc=0.767, Samples=120)
2025-11-09 01:49:19,437 [INFO] Hospital_D: Training complete (Acc=0.733, Samples=120)
2025-11-09 01:49:22,483 [INFO] Hospital_D: Training complete (Acc=0.733, Samples=120)
2025-11-09 01:49:24,595 [INFO] Hospital_D: Training complete (Acc=0.633, Samples=120)
2025-11-09 01:49:33,420 [INFO] Hospital_D: Training complete (Acc=0.433, Samples=120)
2025-11-09 01:49:39,382 [INFO] Hospital_D: Training complete (Acc=0.7, Samples=120)
2025-11-09 01:49:43,254 [INFO] Hospital_D: Training complete (Acc=0.867, Samples=120)
2025-11-09 01:49:46,409 [INFO] Hospital_D: Training complete (Acc=0.9, Samples=120)
2025-11-09 01:49:49,933 [INFO] Hospital_D: Training complete (Acc=0.8, Samples=120)
